titulo,datetime,duracao_min,genero_ano,sinopse,tem_imdb
Sideral,2025-04-26 12:44:00,16.0,Drama / 2021,"Em Natal, Rio Grande do Norte, o primeiro lançamento de um foguete brasileiro está prestes a acontecer. Um casal mora com os dois filhos perto do centro espacial. Ele é mecânico, enquanto ela é faxineira. Porém, a mulher sonha com outros horizontes.",True
Vizinhos,2025-04-26 13:00:00,30.0,Temporada 1 Episódio 10 - Os Outros,"A chegada de uma família de hippies em um condomínio de luxo transforma a rotina da vizinhança. Incomodados com a situação, os antigos habitantes do prédio não poupam esforços para expulsá-los do local.",False
Maputo Nakuzandza,2025-04-26 13:30:00,75.0,Drama / 2022,"Na capital de Moçambique, jovens saem de uma festa e nos quintais senhoras iniciam o dia. Um homem corre, um turista passeia, um trabalhador apanha o transporte e a rádio Maputo Nakuzandza anuncia o desaparecimento de uma noiva.",True
Choque de Cultura,2025-04-26 14:45:00,15.0,Temporada 6 Episódio 11 - Prêmio Meu Gurgel de Bronze 2023,"Os grandes nomes do transporte alternativo premiam os maiores destaques da sétima arte nacional em categorias como: ""Melhor Cineasta Bilionário Brasileiro"" e ""Melhor Novela"".",False
Angeli - The Killer,2025-04-26 15:00:00,15.0,Temporada 2 Episódio 23 - Escola e os Cabeças de Nabo,Angeli aprofunda algumas questões relacionadas à vida sexual e relembra o temor do desconhecido com o surgimento da Aids.,False
Guard Dog & Bill Plympton no Brasil,2025-04-26 15:15:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Zé,2025-04-26 15:20:00,125.0,Drama / 2024,"Zé é um dos líderes do movimento estudantil contrário à ditadura civil-militar brasileira. Dirigente da Ação Popular Marxista-Leninista, ele é um jovem idealista repleto de sonhos que precisa continuar sua luta na clandestinidade. Em sua árdua jornada, Zé enfrenta uma vida de privações, fugas e poucos recursos.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 17:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Maria - Ninguém Sabe Quem Sou Eu,2025-04-26 17:30:00,105.0,Documentary / 2022,"Em um depoimento inédito e exclusivo gravado no teatro do Hotel Copacabana Palace entrecortado por imagens de arquivo, a cantora Maria Bethânia, que completou 55 anos de carreira em 2020, faz um passeio por sua trajetória.",True
Amores Possíveis,2025-04-26 19:15:00,100.0,Romantic comedy / 2001,"Carlos e Júlia combinam de ir ao cinema, mas ela acaba não aparecendo. A partir daí, se desenrolam três histórias diferentes sobre os acontecimentos que poderiam vir em seguida, em três versões para um mesmo caso de amor.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 20:55:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Lama dos Dias,2025-04-26 21:00:00,36.0,Temporada 2 Episódio 8 - Contatos Imediatos,A série resgata o início do movimento manguebeat e remonta a cena cultural de Recife dos anos 1990.,False
Lama dos Dias,2025-04-26 21:36:00,36.0,Temporada 2 Episódio 9 - Gramática das Turbulências,André tem ciúmes de Olivia após o seu envolvimento com os membros da banda Kara Feya e sua vontade de continuar no Recife; Saudade é convencida a dar uma chance para a amizade com Farmácia.,False
Lama dos Dias,2025-04-26 22:12:00,35.0,Temporada 2 Episódio 10 - Mergulho nas Ondas,Olivia participa de um show da banda Kara Feya; Farmácia está decidido a fazer um filme após suas frustrações artísticas; Domingos garante a saideira no aniversário de Nego Queen.,False
Lama dos Dias,2025-04-26 22:47:00,34.0,Temporada 2 Episódio 11 - Herança Crítica,Farmácia precisa fazer uma visita inesperada para a sua família após uma ligação do pai; Saudade o acompanha e se surpreende com o que encontra.,False
Lama dos Dias,2025-04-26 23:21:00,36.0,Temporada 2 Episódio 12 - Um Lance de Dados,"EZK se esforça para produzir um festival musical, mas a possível não vinda de Boyzinha o atormenta; Farmácia busca a ajuda dos amigos para realizar o seu filme; Adriana tem problemas no trabalho.",False
Lama dos Dias,2025-04-26 23:57:00,-1405.0,Temporada 2 Episódio 13 - Acerto das Contas,Lule e Bill retornam da França para levar o projeto do filme de Farmácia à frente; o ex-casal vive uma relação conturbada após o término; acontece o festival Música de Bordo.,False
Lama dos Dias,2025-04-26 00:32:00,38.0,Temporada 2 Episódio 14 - Ouroboros,"O processo de gravação do filme de Farmácia passa por alguns percalços, entre discussões, atrasos, esquecimentos e acidentes no set.",False
"Bar Esperança, o Último que Fecha",2025-04-26 01:10:00,120.0,Comedy / 1983,"As frustrações, amarguras e alegrias de artistas, intelectuais, boêmios e anônimos nas mesas do Bar Esperança no bairro de Ipanema, Rio de Janeiro. Ana vive com o marido Zeca um casamento cheio de altos e baixos. Atriz e mãe de dois filhos, ela trabalha na televisão: é a personagem mais odiada de uma novela de sucesso. Zeca, escritor e autor de teatro e TV, está cansado do emprego, entra em uma crise existencial e passa por transformações radicais.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 03:10:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
A Suprema Felicidade,2025-04-26 03:15:00,125.0,Drama / 2010 / 5.0,"Adolescente precisa lidar com as frustrações do pai e se aproxima do avô, que o inicia na vida noturna. Logo, ele se apaixona por uma jovem misteriosa, mas o caso não dá certo. A reaproximação com o pai acontece em uma das visitas ao cabaré Eldorado.",True
Guard Dog & Bill Plympton no Brasil,2025-04-26 05:20:00,10.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Choque de Cultura,2025-04-26 05:30:00,15.0,Temporada 6 Episódio 12 - Lixo 1,"Devido ao incidente com o ator Murilo Benício, veja uma coletânea de trechos inéditos da temporada.",False
Um Copo de Veneno,2025-04-26 05:45:00,1455.0,Art,A cartunista Laerte Coutinho aborda questões como reconhecimento artístico e efemeridade do sucesso.,False
As Marias,2025-04-27 06:00:00,17.0,Documentary / 2023,"As trigêmeas rompem a barreira do silêncio e da invisibilidade e narram passagens comoventes de suas vidas na pequena cidade de Guia Lopes da Laguna, região próxima da fronteira com o Paraguai, onde foram criadas para obedecerem.",True
Eu Nunca Contei a Ninguém,2025-04-27 06:17:00,11.0,Children / 2022,"Luca, de 5 anos, é levado às pressas ao hospital para se despedir do avô no leito de morte. Durante a viagem, o garoto se questiona sobre como adultos sempre escondem coisas das crianças, já que seu avô sempre lhe dizia a verdade. No hospital o menino lhe pergunta sobre a morte e para onde todos vão depois dessa vida. Ali, pela primeira e última vez, seu avô lhe conta a mais triste e bela de todas as mentiras.",True
Fantasma Neon,2025-04-27 06:28:00,20.0,Musical / 2021,João é um entregador de aplicativo que sonha em ter uma moto para conhecer o Brasil.,True
Bá,2025-04-27 06:48:00,14.0,Drama / 2015,O pequeno Bruno é obrigado a lidar com as mudanças que ocorrem em sua vida quando sua avo? e? trazida para morar em sua casa.,True
Remendo,2025-04-27 07:02:00,21.0,Drama / 2023,"Zé é um homem negro de meia-idade que tem uma oficina de eletrodomésticos na periferia e está em busca de amor. Enquanto uma nova inquilina chega ao prédio de sua mãe, ele recorre a divindades para tentar resolver seus problemas amorosos e sua autoestima, enfrentando os traumas invisíveis do colonialismo para encontrar um novo tipo de liberdade.",True
4 Bilhões de Infinitos,2025-04-27 07:23:00,14.0,Drama / 2020,"Após a morte do pai, uma família vive com a energia de casa cortada. Enquanto a mãe trabalha, seus filhos ficam em casa e conversam sobre ter esperança.",True
Ainda Restarão Robôs nas Ruas do Interior Profundo,2025-04-27 07:37:00,15.0,Drama / 2022,"Na periferia do interior profundo brasileiro, Luquinha tenta recuperar sua égua enquanto convive com o crime e o barulho ensurdecedor de uma cidade conservadora.",True
Partido Alto,2025-04-27 07:52:00,22.0,Documentary / 1982,"Com raízes na batucada baiana, o Partido Alto é uma forma de comunhão, reunindo sambistas em qualquer lugar e hora, pelo simples prazer de se divertir.",True
Ouro para o Bem do Brasil,2025-04-27 08:14:00,18.0,Documentary / 2020,"Após o golpe militar, o empresário Assis Chateaubriand cria a campanha ""Ouro para o bem do Brasil"", por meio da qual convidava a população brasileira a ajudar a acabar com a dívida externa do país.",True
Egos,2025-04-27 08:32:00,10.0,2023,"Com um ator que não consegue atuar e uma equipe insatisfeita, um diretor de cinema tenta criar uma cena emocionante para seu filme, mas os egos envolvidos apresentam verdadeiros obstáculos.",False
Inabitável,2025-04-27 08:42:00,18.0,Drama / 2020 / 4.0,"Marilene procura por sua filha Roberta, uma mulher trans que esta desaparecida. Enquanto corre contra o tempo, ela descobre uma esperança para o futuro.",True
Cinejornal,2025-04-27 09:00:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
Cinejornal,2025-04-27 09:15:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
