,titulo,data,horario,genero_ano,sinopse
10,Guard Dog & Bill Plympton no Brasil,2025-04-22,12:25,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
11,Bá,2025-04-22,12:30,Drama / 2015,O pequeno Bruno é obrigado a lidar com as mudanças que ocorrem em sua vida quando sua avo? e? trazida para morar em sua casa.
12,Cantoras Portuguesas,2025-04-22,12:45,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve."
13,Cinejornal,2025-04-22,13:00,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país."
14,Esquinas - Pílulas,2025-04-22,13:15,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.
15,Cantoras Portuguesas,2025-04-22,13:30,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve."
16,Guard Dog & Bill Plympton no Brasil,2025-04-22,13:50,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
17,70 Anos de Edu Lobo,2025-04-22,14:00,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório."
18,70 Anos de Edu Lobo,2025-04-22,14:30,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório."
19,70 Anos de Edu Lobo,2025-04-22,14:55,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório."
20,70 Anos de Edu Lobo,2025-04-22,15:25,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório."
21,Cantoras Portuguesas,2025-04-22,15:50,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve."
22,Guard Dog & Bill Plympton no Brasil,2025-04-22,16:05,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
23,Remendo,2025-04-22,16:10,Drama / 2023,"Zé é um homem negro de meia-idade que tem uma oficina de eletrodomésticos na periferia e está em busca de amor. Enquanto uma nova inquilina chega ao prédio de sua mãe, ele recorre a divindades para tentar resolver seus problemas amorosos e sua autoestima, enfrentando os traumas invisíveis do colonialismo para encontrar um novo tipo de liberdade."
24,Arte na Capa,2025-04-22,16:35,Music,"Os bastidores da criação, histórias e curiosidades de capas de discos brasileiros clássicas."
25,Fado Tropical,2025-04-22,16:40,Drama / 2019,"Após anos separados, os irmãos brasileiros Isabel e Antonio se reencontram na cidade de Lisboa. Agora, a dupla decide embarcar em uma viagem emocionante pelo país natal de seu pai, que faleceu recentemente."
26,Cantoras Portuguesas,2025-04-22,18:15,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve."
27,Você,2025-04-22,18:30,Drama / 2024 / 5.4,"Por meio de uma conversa telefônica com a delegada, uma mãe revisita memórias sobre a convivência com o pai de sua filha enquanto elas discorrem sobre as ausências às quais ele foi condicionado."
28,Choque de Cultura,2025-04-22,18:45,Temporada 6 Episódio 7 - Brasil Contra o Resto do Mundo,"Neste embate do século, o cinema brasileiro enfrenta a sétima arte do resto do mundo em clima de mata-mata, cachorro invadindo o campo e apedrejamento de ônibus."
