,titulo,data,horario,genero_ano,sinopse
29,Mito e Música - A Mensagem de Fernando Pessoa,2025-04-22,19:00,Documentary / 2018,"O documentário aborda o projeto, que levou 30 anos para ser finalizado, sobre a gravação de 44 músicas criadas para cada poema de Mensagem, um dos livros mais emblemáticos de Fernando Pessoa."
30,Cantoras Portuguesas,2025-04-22,20:35,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve."
31,A Bela América,2025-04-22,20:50,Comedy / 2023,"O cozinheiro Lucas entra na casa de América, estrela de televisão e candidata presidencial, para seduzi-la com refeições extraordinárias."
32,Cantoras Portuguesas,2025-04-22,22:35,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve."
33,Greice,2025-04-22,22:55,Comedy drama / 2024,"Greice, uma jovem brasileira de 21 anos, estuda na Universidade de Belas Artes de Lisboa. Ela se envolve com o misterioso Afonso. E depois de uma festa de boas-vindas para os novos estudantes, o casal é acusado de um estranho acidente que ocorreu no evento. Greice precisa retornar a Fortaleza, sua cidade natal, para renovar a autorização de residência. Escondida em um hotel, enquanto evita que a mãe descubra os problemas em que se envolveu, Greice tenta encontrar um lugar de conforto no mundo."
34,Pornolândia,2025-04-22,00:45,Adults only,Márcia Dailyn fala sobre a sua trajetória até se tornar a primeira bailarina transexual do Theatro Municipal de São Paulo e destaca as dificuldades em ser uma artista no Brasil.
35,A Noite das Taras,2025-04-22,01:00,Drama / 1980,Três marinheiros tiram um dia de folga em São Paulo. Um deles tem que entregar uma carta a uma misteriosa mulher; o outro descobre que está sendo seguido por marginais e o terceiro conhece algumas moças prontas para uma maratona mortal de sexo.
36,502,2025-04-22,02:25,Temporada 1 Episódio 27 - Lino,"Lino fala sobre o processo de exposição que está vivendo, a relação ruim com a irmã por conta de sua orientação sexual e o momento em que se afundou nas drogas após a morte dos pais."
37,Exorcismo Negro,2025-04-22,02:40,Horror / 1974,"O cineasta José Mojica Marins decide passar o fim de semana na casa de campo de seu amigo Álvaro para escrever um roteiro. Após sua chegada, a família do amigo começa a agir de maneira estranha e violenta como se estivesse possuída pelo demônio. Para exorcizar o mal, é necessário realizar um ritual em uma câmara de tortura. Mojica entra em um confronto violento e inusitado com o seu próprio personagem, Zé do Caixão."
38,Sobrepostas - Corpo e Desejo,2025-04-22,04:15,Temporada 2 Episódio 7 - Geni Núñez,"A ativista indígena Geni Núñez fala de como a evangelização afetou a sua vida, destaca a busca por relações potáveis e comenta que alguns desvios foram muito saudáveis para o seu crescimento."
39,Vizinhos,2025-04-22,04:30,Temporada 1 Episódio 9 - Fronteira,O sagrado churrasco em família de Rogério é interrompido por um vizinho folgado e sua música alta.
